PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,SEASON
201566,Marcus Johnson,1610612747,LAL,2023-10-24,LAL @ ATL,W,35:29,10,21,0.476,1,3,0.333,3,4,0.75,2,6,8,9,1,0,4,2,24,-5,2023-24
201566,Marcus Johnson,1610612747,LAL,2023-10-26,LAL @ PHI,W,32:36,10,27,0.37,1,4,0.25,3,4,0.75,0,1,2,2,1,0,3,5,24,-3,2023-24
201566,Marcus Johnson,1610612747,LAL,2023-11-01,LAL vs. OKC,W,34:12,8,20,0.4,1,3,0.333,2,3,0.667,1,4,5,6,0,0,2,5,19,-3,2023-24
201566,Marcus Johnson,1610612747,LAL,2023-11-05,LAL vs. NYK,W,30:49,12,26,0.462,1,4,0.25,4,5,0.8,1,3,4,6,0,0,3,2,29,-1,2023-24
201566,Marcus Johnson,1610612747,LAL,2023-11-09,LAL vs. CHI,L,29:33,10,26,0.385,0,3,0.0,3,4,0.75,1,4,6,8,1,0,3,1,23,8,2023-24
201566,Marcus Johnson,1610612747,LAL,2023-11-10,LAL @ IND,L,36:47,8,24,0.333,0,3,0.0,2,3,0.667,1,4,5,6,1,0,2,1,18,9,2023-24
201566,Marcus Johnson,1610612747,LAL,2023-11-14,LAL vs. LAC,L,33:47,12,28,0.429,1,7,0.143,4,5,0.8,2,6,8,4,1,1,2,5,29,2,2023-24
201566,Marcus Johnson,1610612747,LAL,2023-11-17,LAL vs. PHX,W,33:06,11,26,0.423,1,3,0.333,3,4,0.75,0,1,2,5,1,1,2,3,26,3,2023-24
201566,Marcus Johnson,1610612747,LAL,2023-11-18,LAL vs. UTA,L,32:24,10,27,0.37,1,3,0.333,3,4,0.75,1,4,6,7,0,0,2,4,24,0,2023-24
201566,Marcus Johnson,1610612747,LAL,2023-11-21,LAL vs. IND,L,33:17,9,18,0.5,0,2,0.0,2,3,0.667,1,4,5,5,0,0,3,1,20,-3,2023-24
201566,Marcus Johnson,1610612747,LAL,2023-11-23,LAL vs. DEN,L,28:14,11,27,0.407,1,3,0.333,3,4,0.75,1,5,7,10,1,0,2,3,26,7,2023-24
201566,Marcus Johnson,1610612747,LAL,2023-11-25,LAL @ TOR,W,31:16,12,28,0.429,1,4,0.25,4,6,0.667,0,2,3,7,2,0,2,2,29,2,2023-24
201566,Marcus Johnson,1610612747,LAL,2023-11-26,LAL vs. LAC,W,30:48,11,27,0.407,1,3,0.333,3,4,0.75,1,3,4,8,0,0,3,5,26,-16,2023-24
201566,Marcus Johnson,1610612747,LAL,2023-11-29,LAL vs. MIL,L,34:33,10,23,0.435,1,3,0.333,4,5,0.8,2,6,8,3,0,1,3,2,25,1,2023-24
201566,Marcus Johnson,1610612747,LAL,2023-12-03,LAL vs. NOP,L,34:52,10,22,0.455,0,2,0.0,3,4,0.75,3,9,12,7,0,1,2,5,23,8,2023-24
201566,Marcus Johnson,1610612747,LAL,2023-12-07,LAL @ CHI,W,35:14,11,26,0.423,1,3,0.333,4,5,0.8,3,9,12,5,0,0,2,1,27,8,2023-24
