GAME_ID,GAME_DATE,HOME_TEAM_ID,HOME_TEAM_ABBREVIATION,AWAY_TEAM_ID,AWAY_TEAM_ABBREVIATION,SEASON
22300001,2023-10-24,1610612741,CHI,1610612764,WAS,2023-24
22300002,2023-10-24,1610612753,ORL,1610612742,DAL,2023-24
22300003,2023-10-24,1610612749,MIL,1610612755,PHI,2023-24
22300004,2023-10-24,1610612745,HOU,1610612766,CHA,2023-24
22300005,2023-10-24,1610612763,MEM,1610612752,NYK,2023-24
22300006,2023-10-24,1610612765,DET,1610612748,MIA,2023-24
22300007,2023-10-24,1610612759,SAS,1610612739,CLE,2023-24
22300008,2023-10-24,1610612760,OKC,1610612746,LAC,2023-24
22300009,2023-10-24,1610612750,MIN,1610612757,POR,2023-24
22300010,2023-10-24,1610612747,LAL,1610612754,IND,2023-24
22300011,2023-10-24,1610612762,UTA,1610612744,GSW,2023-24
22300012,2023-10-24,1610612743,DEN,1610612738,BOS,2023-24
22300021,2023-10-25,1610612765,DET,1610612737,ATL,2023-24
22300020,2023-10-25,1610612754,IND,1610612759,SAS,2023-24
22300019,2023-10-25,1610612742,DAL,1610612762,UTA,2023-24
22300018,2023-10-25,1610612745,HOU,1610612746,LAC,2023-24
22300013,2023-10-25,1610612738,BOS,1610612753,ORL,2023-24
22300016,2023-10-25,1610612739,CLE,1610612757,POR,2023-24
22300015,2023-10-25,1610612750,MIN,1610612741,CHI,2023-24
22300014,2023-10-25,1610612766,CHA,1610612743,DEN,2023-24
22300017,2023-10-25,1610612752,NYK,1610612740,NOP,2023-24
22300028,2023-10-26,1610612744,GSW,1610612755,PHI,2023-24
22300031,2023-10-26,1610612739,CLE,1610612765,DET,2023-24
22300030,2023-10-26,1610612750,MIN,1610612743,DEN,2023-24
22300029,2023-10-26,1610612758,SAC,1610612757,POR,2023-24
22300027,2023-10-26,1610612747,LAL,1610612763,MEM,2023-24
22300025,2023-10-26,1610612753,ORL,1610612741,CHI,2023-24
22300024,2023-10-26,1610612762,UTA,1610612748,MIA,2023-24
22300023,2023-10-26,1610612738,BOS,1610612764,WAS,2023-24
22300022,2023-10-26,1610612766,CHA,1610612759,SAS,2023-24
22300026,2023-10-26,1610612742,DAL,1610612756,PHX,2023-24
22300039,2023-10-27,1610612759,SAS,1610612756,PHX,2023-24
22300044,2023-10-27,1610612765,DET,1610612751,BKN,2023-24
22300043,2023-10-27,1610612754,IND,1610612738,BOS,2023-24
22300042,2023-10-27,1610612742,DAL,1610612758,SAC,2023-24
22300041,2023-10-27,1610612764,WAS,1610612753,ORL,2023-24
22300040,2023-10-27,1610612740,NOP,1610612746,LAC,2023-24
22300037,2023-10-27,1610612766,CHA,1610612762,UTA,2023-24
22300045,2023-10-27,1610612741,CHI,1610612739,CLE,2023-24
22300036,2023-10-27,1610612757,POR,1610612745,HOU,2023-24
22300035,2023-10-27,1610612752,NYK,1610612748,MIA,2023-24
