PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,SEASON,HOME_AWAY,OPPONENT,SEASON_YEAR,EFFICIENCY,TS_PCT,PTS_PER_MIN,FANTASY_PTS
201566,Marcus Johnson,1610612747,LAL,2023-10-24,LAL @ ATL,W,35.483333333333334,10,21,0.476,1,3,0.333,3,4,0.75,2,6,8,9,1,0,4,2,24,-5,2023-24,away,ATL,2023,26,0.5272407732864675,0.6763738844527947,46.1
201566,Marcus Johnson,1610612747,LAL,2023-10-26,LAL @ PHI,W,32.6,10,27,0.37,1,4,0.25,3,4,0.75,0,1,2,2,1,0,3,5,24,-3,2023-24,away,PHI,2023,8,0.4172461752433936,0.7361963190184049,29.4
201566,Marcus Johnson,1610612747,LAL,2023-11-01,LAL vs. OKC,W,34.2,8,20,0.4,1,3,0.333,2,3,0.667,1,4,5,6,0,0,2,5,19,-3,2023-24,home,OKC,2023,15,0.4455909943714822,0.5555555555555555,32.0
201566,Marcus Johnson,1610612747,LAL,2023-11-05,LAL vs. NYK,W,30.816666666666666,12,26,0.462,1,4,0.25,4,5,0.8,1,3,4,6,0,0,3,2,29,-1,2023-24,home,NYK,2023,21,0.5141843971631206,0.9410492157923201,39.8
201566,Marcus Johnson,1610612747,LAL,2023-11-09,LAL vs. CHI,L,29.55,10,26,0.385,0,3,0.0,3,4,0.75,1,4,6,8,1,0,3,1,23,8,2023-24,home,CHI,2023,18,0.4142651296829971,0.7783417935702199,42.2
201566,Marcus Johnson,1610612747,LAL,2023-11-10,LAL @ IND,L,36.78333333333333,8,24,0.333,0,3,0.0,2,3,0.667,1,4,5,6,1,0,2,1,18,9,2023-24,away,IND,2023,11,0.35545023696682465,0.4893520616221115,34.0
201566,Marcus Johnson,1610612747,LAL,2023-11-14,LAL vs. LAC,L,33.78333333333333,12,28,0.429,1,7,0.143,4,5,0.8,2,6,8,4,1,1,2,5,29,2,2023-24,home,LAC,2023,24,0.48013245033112584,0.8584114454859398,48.6
201566,Marcus Johnson,1610612747,LAL,2023-11-17,LAL vs. PHX,W,33.1,11,26,0.423,1,3,0.333,3,4,0.75,0,1,2,5,1,1,2,3,26,3,2023-24,home,PHX,2023,17,0.46829971181556196,0.7854984894259819,39.9
201566,Marcus Johnson,1610612747,LAL,2023-11-18,LAL vs. UTA,L,32.4,10,27,0.37,1,3,0.333,3,4,0.75,1,4,6,7,0,0,2,4,24,0,2023-24,home,UTA,2023,17,0.4172461752433936,0.7407407407407408,39.7
201566,Marcus Johnson,1610612747,LAL,2023-11-21,LAL vs. IND,L,33.28333333333333,9,18,0.5,0,2,0.0,2,3,0.667,1,4,5,5,0,0,3,1,20,-3,2023-24,home,IND,2023,17,0.5175983436853002,0.6009013520280421,30.5
